N,wide_area,narrow_area,wide_error,narrow_error
89100,23.341460238674593,22.996151089975708,22.341460238674593,21.996151089975708
89600,23.352195877509086,22.993497911629436,22.352195877509086,21.993497911629436
90100,23.342782804070314,22.989052370613475,22.342782804070314,21.989052370613475
90600,23.340113301482543,22.982844141806456,22.340113301482543,21.982844141806456
91100,23.329219061743402,22.983911307602622,22.329219061743402,21.983911307602622
91600,23.336503522498916,22.990701148178676,22.336503522498916,21.990701148178676
92100,23.330645818736727,22.989218924769389,22.330645818736727,21.989218924769389
92600,23.324851373114523,22.986689133222711,22.324851373114523,21.986689133222711
93100,23.301350372390822,22.983481272606131,22.301350372390822,21.983481272606131
93600,23.286134030404320,22.983464319675573,22.286134030404320,21.983464319675573
94100,23.287061178918798,22.988680651735311,22.287061178918798,21.988680651735311
94600,23.300696379682851,22.991759664578115,22.300696379682851,21.991759664578115
95100,23.306281335884947,22.992735069863546,22.306281335884947,21.992735069863546
95600,23.286638229965174,22.985458679450897,22.286638229965174,21.985458679450897
96100,23.281283788027292,22.978258005899978,22.281283788027292,21.978258005899978
96600,23.266643867553640,22.972491252819655,22.266643867553640,21.972491252819655
97100,23.256801122720770,22.964079130689516,22.256801122720770,21.964079130689516
97600,23.240895758002356,22.964834994404804,22.240895758002356,21.964834994404804
98100,23.220553487376417,22.970268231106477,22.220553487376417,21.970268231106477
98600,23.241598993412204,22.969653238251457,22.241598993412204,21.969653238251457
99100,23.236633884916198,22.963412834763172,22.236633884916198,21.963412834763172
99600,23.231718626907103,22.963497648263377,22.231718626907103,21.963497648263377
