size,threshold,random,reversed,almost_sorted
7400,30,2109,1654,1373
7400,50,2119,1658,1394
7500,5,3215,2585,2539
7500,10,2676,2054,2014
7500,15,2331,1759,1649
7500,20,2344,1757,1644
7500,30,2155,1673,1385
7500,50,2151,1681,1382
7600,5,3266,2638,2593
7600,10,2713,2089,2037
7600,15,2364,1784,1670
7600,20,2371,1785,1662
7600,30,2209,1715,1425
7600,50,2176,1706,1407
7700,5,3280,2640,2588
7700,10,2738,2099,2049
7700,15,2422,1803,1700
7700,20,2392,1799,1693
7700,30,2224,1747,1445
7700,50,2272,1736,1438
7800,5,3325,2667,2645
7800,10,2774,2129,2068
7800,15,2520,1890,1798
7800,20,2429,1840,1707
7800,30,2330,1784,1567
7800,50,2235,1751,1439
7900,5,3348,2700,2646
7900,10,2802,2151,2092
7900,15,2619,1983,1886
7900,20,2455,1846,1727
7900,30,2434,1848,1687
7900,50,2274,1811,1456
8000,5,3399,2715,2669
8000,10,2851,2162,2125
8000,15,2710,2063,1982
8000,20,2489,1878,1742
8000,30,2493,1870,1744
8000,50,2296,1815,1482
8100,5,3430,2747,2707
8100,10,2864,2192,2134
8100,15,2810,2137,2077
8100,20,2535,1894,1770
8100,30,2522,1884,1771
8100,50,2326,1861,1495
8200,5,3438,2750,2711
8200,10,2903,2215,2160
8200,15,2895,2217,2160
8200,20,2552,1913,1785
8200,30,2545,1910,1786
8200,50,2359,1879,1506
8300,5,3503,2803,2748
8300,10,2945,2249,2187
8300,15,2940,2252,2187
8300,20,2586,1943,1807
8300,30,2592,1937,1807
8300,50,2396,1915,1533
8400,5,3534,2823,2779
8400,10,2980,2275,2212
8400,15,2969,2265,2206
8400,20,2612,1961,1827
8400,30,2611,1962,1826
8400,50,2436,1931,1543
8500,5,3553,2836,2792
8500,10,2994,2296,2228
8500,15,3007,2322,2232
8500,20,2644,1992,1853
8500,30,2644,1990,1848
8500,50,2464,1971,1561
8600,5,3590,2853,2822
8600,10,3029,2314,2256
8600,15,3045,2310,2254
8600,20,2675,2030,1866
8600,30,2692,2036,1871
8600,50,2490,1993,1580
8700,5,3622,2893,2838
8700,10,3069,2341,2267
8700,15,3065,2349,2275
8700,20,2703,2038,1884
8700,30,2705,2037,1885
8700,50,2533,2021,1596
8800,5,3661,2916,2892
8800,10,3113,2368,2299
8800,15,3104,2363,2310
8800,20,2745,2054,1908
8800,30,2768,2048,1908
8800,50,2551,2045,1613
8900,5,3690,2941,2896
8900,10,3131,2381,2315
8900,15,3125,2384,2316
8900,20,2770,2078,1924
8900,30,2769,2098,1936
8900,50,2586,2091,1633
9000,5,3750,2955,2921
9000,10,3155,2403,2336
9000,15,3162,2407,2340
9000,20,2802,2110,1945
9000,30,2800,2112,1952
9000,50,2617,2109,1649
9100,5,3762,2992,2955
9100,10,3203,2427,2370
9100,15,3190,2439,2358
9100,20,2831,2134,1968
9100,30,2825,2135,1968
9100,50,2643,2147,1674
9200,5,3789,3000,2971
9200,10,3226,2447,2376
9200,15,3225,2446,2377
9200,20,2861,2153,1982
9200,30,2864,2161,1981
9200,50,2687,2169,1689
9300,5,3840,3037,2997
9300,10,3257,2462,2410
9300,15,3258,2471,2402
9300,20,2890,2171,2000
9300,30,2890,2164,2010
9300,50,2708,2193,1700
9400,5,3867,3061,3017
9400,10,3285,2501,2457
9400,15,3336,2514,2428
9400,20,2971,2227,2049
9400,30,2962,2233,2060
9400,50,2782,2266,1750
9500,5,3944,3102,3085
9500,10,3332,2564,2441
9500,15,3376,2536,2443
9500,20,2995,2235,2051
9500,30,2978,2271,2049
9500,50,2792,2273,1760
9600,5,3948,3111,3069
9600,10,3353,2538,2463
9600,15,3354,2537,2471
9600,20,2987,2239,2061
