size,random,reversed,almost_sorted
37400,28934,25274,25233
37500,28989,25373,25311
37600,29076,25502,25414
37700,29507,25916,25695
37800,29331,25698,25655
37900,29674,25887,26039
38000,29820,26013,25891
38100,29717,26064,25847
38200,29919,26210,26090
38300,29842,26389,26111
38400,29890,26134,26099
38500,30331,26651,26566
38600,30319,26502,26409
38700,30214,28209,26466
38800,30590,26703,26708
38900,30286,26426,26336
39000,30290,26491,26506
39100,30348,26624,26521
39200,30497,26654,26542
39300,30460,26754,26622
39400,30872,27037,26948
39500,30733,26933,26881
39600,31364,27468,27339
39700,30944,27158,27119
39800,31274,28095,27763
39900,31100,27219,27068
40000,31043,27283,27103
40100,31239,27223,27184
40200,31460,27563,27442
40300,31526,27579,27497
40400,31351,27580,27499
40500,31838,27793,27621
40600,31578,27693,27620
40700,31644,27831,27617
40800,31891,27962,27907
40900,32017,28144,27980
41000,32289,28278,28052
41100,32077,28171,28052
41200,32238,28305,28212
41300,32541,28472,28269
41400,32186,28244,28060
41500,32256,28259,28206
41600,32707,28770,28489
41700,32564,28567,28383
41800,32782,28748,28737
41900,33031,28887,28788
42000,33107,29161,28969
42100,33250,28838,28767
42200,33109,29023,28800
42300,33313,29128,29062
42400,33085,29032,28857
42500,33440,29364,29197
42600,33426,29272,29594
42700,33572,29447,29275
42800,33591,29452,29198
42900,33761,29573,29403
43000,33815,29628,29417
43100,33898,29639,29504
43200,34099,29882,29626
43300,33988,31460,29694
43400,34127,29969,29834
43500,34200,29893,29753
43600,34590,30202,30075
43700,34645,30004,29809
43800,34308,30055,29993
43900,34299,30342,30051
44000,36254,30528,30328
44100,34594,30387,30273
44200,34845,30547,30322
44300,35063,30656,30625
44400,35217,30838,30638
44500,35008,31483,30696
44600,35334,30853,30775
44700,35081,31071,30602
44800,35241,30863,30611
44900,35491,30929,30648
45000,35180,30793,30658
45100,35821,31348,31299
45200,35685,31278,30988
45300,35976,31244,31084
45400,35616,31226,31095
45500,36062,31520,31258
45600,35525,31198,30943
45700,35657,31293,31048
45800,36319,31285,31124
45900,35867,31348,31311
46000,35857,31360,31235
46100,35987,31617,31358
46200,36060,31567,31379
46300,36195,31711,31494
46400,36631,31992,31876
46500,36994,32192,32079
46600,36943,32299,31945
46700,37021,32619,32193
46800,36781,32892,32263
46900,36937,32347,32166
47000,36813,32229,32088
47100,37102,32393,32130
47200,37415,32704,32486
47300,37322,32715,32463
47400,37267,32717,32457
47500,37262,32751,32602
47600,37380,32763,32493
47700,37496,32827,32491
47800,37410,32734,32667
47900,37608,33001,32850
48000,37689,33079,32885
48100,37863,33194,33129
48200,38105,33548,33171
48300,37959,33381,32992
48400,37996,33215,32881
48500,38120,33296,33109
48600,38165,33588,33280
48700,38185,33583,33415
48800,39198,33742,33614
48900,38462,33580,33519
49000,38707,33879,34025
49100,38422,33632,33495
49200,38625,33755,33650
49300,38806,33834,33685
49400,38608,33815,33685
49500,39122,34097,33817
49600,39243,34131,33953
49700,39766,34624,34366
49800,39175,34463,34110
49900,39239,34388,34017
50000,39339,34419,34110
50100,39480,34754,34629
50200,39707,34640,34462
50300,39778,34836,34478
50400,40085,34664,34387
50500,39835,34876,34435
50600,39792,34758,34396
50700,40216,35242,36697
50800,40080,34982,34762
50900,39947,34892,34786
51000,40299,35279,35055
51100,40366,35359,37863
51200,40656,35496,35157
51300,40593,35627,35536
51400,40656,35616,35401
51500,40732,35619,35282
51600,40602,35481,35386
51700,40528,35527,35423
51800,41032,35863,35472
51900,41155,35961,35752
52000,41465,36048,35635
52100,42208,36073,36930
52200,41127,35939,35640
52300,41334,36010,35741
52400,41650,36468,36284
52500,41827,36835,36152
52600,42105,36688,36532
52700,42148,36569,36415
52800,41675,36374,36238
52900,41474,36248,36164
53000,42022,36634,36500
53100,41907,36629,36852
53200,41998,36830,36493
53300,41938,36659,36386
53400,42106,36867,36710
53500,42410,36925,36720
53600,42442,36928,36698
53700,42501,36920,36946
53800,42482,37113,37409
53900,42497,37349,37041
54000,42843,37339,37066
54100,43074,37604,37472
54200,42952,37700,37342
54300,43359,37977,37926
54400,43563,37956,37793
54500,43289,37884,37581
54600,43800,38417,38395
54700,43439,37953,37509
54800,44191,38392,38212
54900,43831,38311,38088
55000,43896,38306,38197
55100,44047,38602,38274
55200,43501,37873,37732
55300,43777,38241,38023
55400,44147,44414,37918
55500,44279,38663,38587
55600,43931,38454,38235
55700,44324,38932,38240
55800,44184,38528,38340
55900,44659,40211,38628
56000,43979,38381,38290
56100,44324,38767,38523
56200,44845,38826,38784
56300,44809,39231,38652
56400,44743,39090,38875
56500,45264,39322,39363
56600,44545,39050,38815
56700,44974,39111,39197
56800,45017,39313,39260
56900,45379,39275,39107
57000,45241,39392,39303
57100,45408,39415,39148
57200,45412,39696,39517
57300,45607,39625,39573
57400,45617,39708,39439
57500,45592,39726,39531
57600,45554,39798,39495
57700,46098,40366,39834
57800,45990,40223,40073
57900,46238,40304,40139
58000,46567,40414,40238
58100,45977,39958,39652
58200,46345,40712,40357
58300,46424,40395,40242
58400,46173,40376,39978
58500,46101,40265,40344
58600,46656,40963,40598
58700,46808,40584,40540
58800,46942,40778,40745
58900,47068,41081,40965
59000,47341,41785,41586
59100,47074,41002,40778
59200,47729,41831,41400
59300,47046,41035,40948
59400,47051,40989,40858
59500,47426,41546,41232
59600,47405,41129,40838
59700,47593,41780,41270
59800,47528,41576,41330
59900,47607,41658,41731
60000,47955,42086,41650
60100,48088,42097,41763
60200,47997,41729,41567
60300,47611,41560,41375
60400,47999,41918,41742
60500,48682,41940,41903
60600,48116,41869,41868
60700,48624,42480,42310
60800,48564,42193,42213
60900,48494,42305,42257
61000,48417,42281,42022
61100,48509,42292,42046
61200,49091,42780,42618
61300,48608,42321,42189
61400,49051,42842,42576
61500,48451,42513,42325
61600,48870,42960,42613
61700,48759,42668,42435
61800,49191,42816,42763
61900,48969,43219,42371
62000,49544,42961,42619
62100,49569,43219,42965
62200,49400,43266,43586
62300,49402,43376,43107
62400,49671,43589,43376
62500,49724,43335,42966
62600,49835,43474,43113
62700,50243,43805,43533
62800,49672,43552,43633
62900,49682,43513,43220
63000,50104,43854,43334
63100,49979,43420,43148
63200,50326,43899,43837
63300,50183,43849,43377
63400,50423,44039,44050
63500,50343,43951,43530
63600,50324,44110,43856
63700,50262,44316,43929
63800,50322,44029,43716
63900,50814,44162,44145
64000,51251,44690,44889
64100,50705,44118,44130
64200,50790,44383,44177
64300,50840,44455,44315
64400,51903,45047,44645
64500,50860,44446,44202
64600,51016,44408,44317
64700,52011,45184,45507
64800,51646,45049,44952
64900,51965,45493,45625
65000,51478,44933,44940
65100,51782,45081,44839
65200,51842,45332,45018
65300,51765,45528,45233
65400,51488,45125,44998
65500,52180,45375,45228
65600,51986,45449,45010
65700,52676,45686,45494
65800,52406,45940,45661
65900,51871,45280,45071
66000,52499,45350,45274
66100,52042,45433,45157
66200,52259,45582,45308
66300,52730,46159,45752
66400,52488,45679,45675
66500,52857,46381,46109
66600,53057,46367,46264
66700,52876,46225,46049
66800,53168,46388,46341
66900,53391,46719,46317
67000,53462,46674,46253
67100,53057,46253,46153
67200,53107,46326,46190
67300,54048,47049,46772
67400,53955,47123,46721
67500,53972,47394,47249
67600,54143,46928,46953
67700,53826,47229,47059
67800,53658,47085,46679
67900,54087,47367,47251
68000,53753,47015,47480
68100,54154,47266,46940
68200,54146,47303,47190
68300,54159,47431,47432
68400,54524,47600,47367
68500,54509,47442,47590
68600,55098,47807,47788
68700,54806,47746,47585
68800,54796,48047,47749
68900,55450,48554,48319
69000,55569,48435,48416
69100,55178,48118,47794
69200,54704,47865,47710
69300,55525,48446,48247
69400,55395,48610,48270
69500,55168,48221,48013
69600,55712,48523,48439
69700,55752,48608,48779
69800,55784,48873,48654
